crop_name,days,stage,irrigation,irrigation_type,fertilizer_type,fertilizer_dosage,diseases,control_action,labour,notes
sesame,90,Sowing,yes,Flood or Drip,"Nitrogen, Phosphorus","N: 20 kg/ha, P: 40 kg/ha",Seed rot,Seed treatment with Trichoderma or Captan,2,Use certified seeds; sow at 30x10 cm spacing
sesame,90,Vegetative,yes,Drip or Sprinkler,Nitrogen,Top-dress 20 kg N/ha at 30 DAS,Leaf spot,Spray Mancozeb 2.5 g/litre,3,Weeding and thinning required
sesame,90,Budding/Flowering,yes,Drip or Sprinkler,Micronutrients,Spray Boron (0.2%) if deficiency seen,Powdery mildew,Spray Wettable Sulphur 2 g/litre,2,Avoid water stress; irrigate before flowering
sesame,90,Pod formation,yes,Drip or Furrow,Potassium,Apply K₂O @ 20 kg/ha if needed,Leaf roller pest,Spray neem oil or Quinalphos 2 ml/litre,2,Monitor pest attack; ensure timely irrigation
sesame,90,Maturity,no,Rainfed,Not Needed,Not Needed,Stem rot,"Remove affected plants, avoid waterlogging",3,Stop irrigation 10-12 days before harvest; dry pods well
linseed,120,Sowing,yes,Flood or Drip,"Nitrogen, Phosphorus","N: 30 kg/ha, P: 40 kg/ha",Seed rot,Seed treatment with Carbendazim or Trichoderma,2,Sow at 30x10 cm spacing; use certified seeds
linseed,120,Vegetative,yes,Drip or Sprinkler,Nitrogen,Top-dress 20 kg N/ha at 30 DAS,Leaf spot,Spray Mancozeb 2.5 g/litre,3,Perform hoeing and weeding twice; ensure soil aeration
linseed,120,Budding/Flowering,yes,Drip or Sprinkler,Micronutrients,Spray Boron (0.2%) + Zinc (0.5%) if needed,Powdery mildew,Spray Sulphur dust or Wettable Sulphur 2 g/litre,2,Keep field weed-free; ensure moisture availability during flowering
linseed,120,Capsule formation,yes,Furrow or Alternate,Potassium,Apply K₂O @ 20 kg/ha if needed,Alternaria blight,Spray Chlorothalonil or Mancozeb 2 g/litre,2,Timely irrigation improves seed size and oil content
linseed,120,Maturity,no,Rainfed,-,-,Wilt,"Uproot infected plants, maintain drainage",3,Stop irrigation 10 days before harvest; harvest when 90% pods brown
wheat,120,Sowing,yes,Flood or Sprinkler,"Nitrogen, Phosphorus","N: 40 kg/ha, P: 60 kg/ha",Seed rot,Treat seed with Bavistin 2g/kg seed,2,Use certified seeds; sow in rows 22 cm apart
wheat,120,Tillering,yes,Flood or Drip,Nitrogen,Top-dress 40 kg N/ha after 20–25 days,Leaf blight,Spray Mancozeb 2.5 g/litre,3,First irrigation at crown root initiation stage
wheat,120,Booting/Flowering,yes,Sprinkler,"Micronutrients (Zn, S, B)","ZnSO₄ 0.5%, Boron 0.2%, Sulphur 20 kg/ha",Rust (brown/yellow),Spray Propiconazole 1 ml/l or Mancozeb 2 g/litre,2,Ensure adequate moisture; most sensitive to water stress
wheat,120,Grain Filling,yes,Flood or Furrow,Potassium,Apply K₂O @ 40 kg/ha,Powdery mildew,Spray Wettable Sulphur or Hexaconazole,2,Irrigation critical for grain weight and yield
wheat,120,Maturity,no,Rainfed,-,-,Ear cockle,Remove diseased heads; use clean seed,3,Stop irrigation 10days before harvest; harvest when dry
mung bean,75,Sowing,yes,Light Flood or Drip,"Phosphorus, Rhizobium",P: 20 kg/ha + Rhizobium seed inoculation,Seed rot,Seed treatment with Thiram or Trichoderma,2,"Use bold, certified seeds; sow at 25x10 cm spacing"
mung bean,75,Vegetative,yes,Drip or Sprinkler,Nitrogen (starter dose),Starter dose of N: 15kg/ha,Leaf spot,Spray Mancozeb 2.5 g/litre,2,Early weeding and thinning important; avoid waterlogging
mung bean,75,Flowering,yes,Drip or Furrow,"Micronutrients (Boron, Zn)","Foliar spray: Boron 0.2%, ZnSO₄ 0.5%",Powdery mildew,Spray Sulphur or Carbendazim 1 g/litre,2,Critical stage for yield; ensure sufficient moisture
mung bean,75,Pod development,yes,Alternate furrow,Potassium,Apply K₂O @ 20 kg/ha if required,"Pod borer, Thrips",Spray Neem oil or Dimethoate 2 ml/litre,2,Monitor pest population; avoid pesticide overuse
mung bean,75,Maturity,no,Rainfed,-,-,Yellow mosaic virus,Uproot infected plants; control whitefly with Imidacloprid,3,Harvest when 80–90% pods turn black/brown; avoid delayed harvest
cabbage,110,Nursery/Sowing,yes,Light Sprinkler,"FYM, Nitrogen, Phosphorus","20 tons FYM/ha, N: 25 kg/ha, P: 25 kg/ha",Damping off,Drench nursery with Captan 2 g/litre,2,Raise seedlings in well-drained nursery beds
cabbage,110,Transplanting,yes,Flood or Drip,"Starter N, Micronutrients",15 kg N/ha + Zinc & Boron spray (ZnSO₄ + Boron),Root rot,Soil drenching with Trichoderma or Carbendazim,3,Transplant at 30x45 cm spacing; irrigate immediately after planting
cabbage,110,Vegetative,yes,Drip or Furrow,Nitrogen,40 kg N/ha split in 2 doses (30 & 45 DAT),Black rot,"Remove affected leaves, spray Streptomycin + Copper Oxychloride",2,Do earthing-up; ensure weed-free field
cabbage,110,Head Formation,yes,Drip or Furrow,"Potassium, Sulphur",K₂O @ 40 kg/ha + elemental Sulphur 20 kg/ha,"Aphids, Diamondback moth",Spray neem oil or Emamectin Benzoate 0.4 g/litre,3,Ensure continuous soil moisture for tight head formation
cabbage,110,Maturity,no,Rainfed,-,-,Downy mildew,Spray Mancozeb or Metalaxyl + Mancozeb combo,3,Harvest when heads are firm and compact
mustard,110,Sowing,yes,Light Flood or Drip,"Nitrogen, Phosphorus","N: 40 kg/ha, P: 30 kg/ha",Seed rot,Seed treatment with Thiram or Trichoderma,2,Sow at 30x10 cm spacing; use bold certified seeds
mustard,110,Vegetative,yes,Drip or Furrow,Nitrogen,Top-dress 30 kg N/ha at 30 DAS,Alternaria blight,Spray Mancozeb or Chlorothalonil 2.5 g/litre,3,Weed twice; ensure field is clean and pest-free
mustard,110,Flowering,yes,Drip or Alternate Furrow,"Micronutrients (B, Zn)","Foliar spray: Boron 0.2%, ZnSO₄ 0.5%",White rust,Spray Metalaxyl + Mancozeb or Ridomil Gold,2,Moisture stress must be avoided during flowering
mustard,110,Pod Formation,yes,Furrow,Potassium,Apply K₂O @ 20–30 kg/ha,Aphids,Spray Neem oil or Imidacloprid 0.3 ml/litre,2,Pest monitoring is crucial; timely irrigation increases yield
mustard,110,Maturity,no,Rainfed,-,-,Downy mildew,Spray Mancozeb 2.5 g/litre,3,Stop irrigation ~10 days before harvest; harvest when pods turn yellow
