State,Scheme / Program,Type,Benefit / Coverage,Notes,Where to Apply
Tamilnadu,Tractor Purchase Loan,Loan,Up to 90% cost; 11–12.25% interest,Via co-op bank,Cooperative Banks (Primary Agriculture Co-op Societies)
Tamilnadu,Crop Loan Subsidy & Incentive,Subsidy/Incentive,2% subsidy + 7% prompt repayment incentive,Through TNSC Bank,Tamil Nadu State Cooperative Bank (TNSC Bank)
Tamilnadu,IBKCC Plus,Credit Extension,Medium-term asset loan (20% MPL),For assets under KCC,Linked with Kisan Credit Card (KCC) accounts
Tamilnadu,Golden Harvest (Sugarcane/Paddy),Loan Support,Sugarcane: up to value of pledge; Paddy: ₹10k/acre,Crop-specific,Crop-specific cooperative lending channels
Tamilnadu,Seed & Mechanization Subsidies,Subsidy,Seed: ₹5/kg; Machinery: 25–50% subsidy,Via TNAU schemes,Tamil Nadu Agricultural University (TNAU) schemes
Tamilnadu,Farmer Service & KCC rollout,Service/Support,"KCC issuance + inputs via 1,000 service centres",From Budget 2025–26,State Agriculture Service Centres (as per Budget 2025–26)
Tamilnadu,Sugarcane Incentive,Performance Bonus,₹215 / metric tonne,Budget 2025–26,Sugar mills via State Govt subsidy channel
Tamilnadu,Irrigation & Relief Infrastructure,Infrastructure,"Pumps, power connections, irrigation, relief funds",Budget 2025–26,State Dept. of Agriculture / Public Works Department (PWD)
Chattisgarh,Rajiv Gandhi Kisan Nyay Yojana (RGKNY),Direct Cash + Input Subsidy,"₹5,750 crore annually; covers paddy, maize, sugarcane, pulses, millets; includes landless laborers","Launched May 21, 2020 (Wikipedia)",Agriculture Dept / Co-operative Societies / Online DBT portal
Chattisgarh,Krishak Unnati Yojana,Input Subsidy / Procurement,"Farmers get ₹10,000–₹11,000/acre for diversifying to pulses, oilseeds, maize, millets",Starts Kharif 2025 (BT News India),Agriculture Dept (District Agriculture Offices)
Chattisgarh,PMFBY + Weather Insurance (2024-25),Crop Insurance (Central),₹152.84 crore paid to 1.42 lakh farmers (Kharif & Rabi 2024-25) via DBT,Recent payout processed (The Times of India),Insurance Companies via Agri Dept / Common Service Centres
Chattisgarh,Godhan Nyay Yojana,Organic Input Scheme,Govt buys cow dung at ₹2/kg and cow urine at ₹4/l; compost sold at ₹8/kg,Launched July 2020; widespread benefits (Wikipedia),Gram Panchayats / Co-operative Societies / State Agriculture Dept
Chattisgarh,Kisan Samriddhi Yojana,Irrigation Subsidy / Grant,Tube well grants: ₹10k general / ₹18k SC/ST; Pump subsidy: ₹20k general / ₹25k SC/ST,"State-wide, priority to small/marginal farmers (Government schemes)",Agriculture Engineering Dept / District Agriculture Offices
Chattisgarh,Agricultural Mechanization Scheme,Machinery Subsidy + Loan,Subsidy 40–50% on tractors and farm machinery; loans available via banks,Implementation ongoing (Yuva Patrkaar),District Agriculture Engineering Dept / Co-operative Banks
Chattisgarh,Interest-Free Horticulture Loans,Credit Support,"Loans up to ₹3 lakh at 0% interest for horticulture (greenhouse, equipment support)",Horticulture-specific support (India Today),Horticulture Dept / Co-operative & Commercial Banks
Chattisgarh,Budget 2025-26 Supports,Multiple Supports,"₹60 crore sugarcane bonus; ₹10k crore Agriculture Unnati Yojana; ₹3,500 crore free farm electricity; ₹750 crore PMFBY boost","State budget allocations (CMV360, CMV360)",Agriculture Dept / Electricity Board / Co-operative Banks
Chattisgarh,AgriStack (CGFR Portal),Digital Platform,"Single Farmer ID → access to DBT, KCC, PM-KISAN, PMFBY, eNAM, subsidy services",Launched for streamlined access (Agristack),CGFR Digital Portal (online farmer registration & DBT services)
Madhya Pradesh,MP Kisan Anudan Yojana (Agri Equipment Subsidy),Machinery Subsidy,"30–60% subsidy (₹40,000–₹60,000) on agricultural equipment; includes tractors, seeders, rotavators, etc. (Sarkari Bhatta, Sarkari Yojana, Khetivyapar)","State-run; lottery-based selections; deadline was Jan 6, 2025 (Khetivyapar)",State Agriculture Portal / Lottery-based system via Agri Dept
Madhya Pradesh,Mukhyamantri Kisan Kalyan Yojana,Income Support (DBT),"₹6,000/year to farmers (₹2,000 per installment) in addition to PM-KISAN benefits. ₹1,700 Cr disbursed to 82 lakh farmers. (Govt Schemes India)",Eligibility tied to PM-KISAN enrollment; implemented via local Patwari/SARA Portal. (Govt Schemes India),Enrollment through PM-KISAN + Local Patwari / SARA Portal
Madhya Pradesh,Bhavantar Bhugtan Yojana,Price Gap Compensation,"Compensates farmers when market price < MSP, ensuring difference (or Model Price) is covered. (Wikipedia)","Launched October 2017; initially for pulses/oilseeds, expanded over time.",Agriculture Marketing Board / State Agriculture Dept
Madhya Pradesh,Farm Loan Interest Waiver Scheme,Loan Waiver,Waives principal & interest on outstanding crop loans (up to ₹2 lakh) from PACS; covers ~11 lakh farmers. (Tractor News),Introduced May 2023.,Primary Agriculture Credit Societies (PACS) / Co-operative Banks
Madhya Pradesh,Tractor Subsidy (Macro-Management Scheme),Equipment Subsidy,"Subsidy up to ₹30,000 or 25% of cost for small tractors (≤35 HP); central–state share 90:10. (Vicky)",Requires institutional credit linkage.,Agriculture Dept + Institutional Credit (Bank linkage mandatory)
Madhya Pradesh,Solar Pump Subsidy (Krishak Mitra Surya Yojana),Irrigation Infrastructure,Subsidy for solar-powered pumps; allocated ₹447 Cr in MP Budget 2025–26. (CMV360),Promotes sustainable irrigation solutions.,Agriculture & Energy Dept / MP Online Portal
Madhya Pradesh,Electrical Subsidy for Farmers,Input Cost Relief,"₹19,208 Cr allocated for electricity bill subsidies to farmers in 2025–26. (CMV360)",Supports farm operations through cheaper power access.,State Electricity Board (MPEB) / DBT route
Madhya Pradesh,Wheat Purchase Bonus,Market Incentive,₹624 Cr provisioned as bonus for wheat procurement at MSP. (CMV360),Encourages wheat cultivation.,Procurement Centres (State Civil Supplies Corporation)
Madhya Pradesh,Surya Mitra Krishi Feeder (Solar Projects),Renewable Infrastructure,"Up to 5,000 MW decentralized solar plants for irrigation; 1,200 MW eligible for central subsidy; ₹20,000 Cr investment planned. (The Times of India)",Long-term procurement agreements & bank financing assured.,Energy Dept / Bank financing under MP Govt agreements
Madhya Pradesh,MGNREGA Support for Agriculture,Employment & Infra,"100 days guaranteed rural employment, supporting infrastructure like farm ponds and bunding; ₹1,500 Cr wages disbursed, supporting ~32 lakh people. (The Times of India)",Enhances farm-support infrastructure via local labor.,Gram Panchayat / Rural Development Dept (MGNREGA offices)
Madhya Pradesh,PM-KUSUM (Solar Pumps),Renewable Energy Subsidy,30–90% subsidy plus 30% loan and 10% farmer contribution for solar pump setups. (Wikipedia),Central scheme; MP-specific rollout aligned with central norms.,Central PM-KUSUM Portal + State Nodal Agency (MP Urja Vikas Nigam Ltd.)
Madhya Pradesh,Atal Bhujal Yojana,Groundwater Management,Supports water resource sustainability via community participation; active across several states including MP (2020–2025). (Wikipedia),Complements agri-support through groundwater management.,Water Resources Dept + Community-based Water User Associations
Madhya Pradesh,Mukhyamantri Yuva Swarozgar Yojana,Youth Credit Support,"Loan subsidy & bank guarantee for youth entrepreneurship, which can include agri/allied sectors. (Wikipedia)",Expands livelihood options for young farmers or agripreneurs.,District Industries Centre (DIC) / Banks (with state guarantee)
Madhya Pradesh,MGNREGA Rural Employment,Employment + Infra,Provides jobs for rural families and builds farm-linked infrastructure. (The Times of India),Amplifies impact via livelihood support.,Gram Panchayat / Rural Development Dept
